ano;mes;temperatura
2016;MAR.;22.5
2017;MAR.;21.7
2018;MAR.;22.8
2019;MAR.;22.0
2020;MAR.;20.8
2021;MAR.;22.6
2022;MAR.;22.98
2023;MAR.;22.4
1933;ABR.;17.03
1934;ABR.;18.65
1935;ABR.;17.34
1936;ABR.;18.54
1937;ABR.;17.91
1938;ABR.;18.38
1939;ABR.;18.55
1940;ABR.;20.12
1941;ABR.;20.82
1942;ABR.;18.3
1943;ABR.;16.28
1944;ABR.;16.98
1945;ABR.;18.04
1946;ABR.;17.34
1947;ABR.;18.03
1948;ABR.;18.44
1949;ABR.;17.68
1950;ABR.;18.85
1951;ABR.;15.93
1952;ABR.;17.14
1953;ABR.;18.13
1954;ABR.;18.22
1955;ABR.;18.54
1956;ABR.;18.18
1957;ABR.;18.1
1958;ABR.;17.81
1959;ABR.;21.41
1960;ABR.;18.35
1961;ABR.;19.8
1962;ABR.;18.18
1963;ABR.;18.58
1964;ABR.;19.4
1965;ABR.;19.24
1966;ABR.;18.98
1967;ABR.;18.88
1968;ABR.;16.8
1969;ABR.;18.34
1970;ABR.;19.17
1971;ABR.;18.51
1972;ABR.;17.57
1973;ABR.;21.82
1974;ABR.;18.13
1975;ABR.;18.1
1976;ABR.;18.85
1977;ABR.;18.85
1978;ABR.;18.15
1979;ABR.;18.46
1980;ABR.;19.87
1981;ABR.;18.8
1982;ABR.;17.87
1983;ABR.;19.69
1984;ABR.;19.08
1985;ABR.;20.74
1986;ABR.;20.64
1987;ABR.;20.84
1988;ABR.;19.61
1989;ABR.;20.56
1990;ABR.;21.89
1991;ABR.;19.46
1992;ABR.;20.17
1993;ABR.;20.88
1994;ABR.;20.0
1995;ABR.;19.85
1996;ABR.;20.26
1997;ABR.;19.4
1998;ABR.;20.6
1999;ABR.;19.3
2000;ABR.;19.8
2001;ABR.;21.8
2002;ABR.;22.2
2003;ABR.;20.3
2004;ABR.;20.6
2005;ABR.;21.4
2006;ABR.;19.7
2007;ABR.;21.2
2008;ABR.;20.2
2009;ABR.;19.5
2010;ABR.;19.7
2011;ABR.;20.7
2012;ABR.;20.5
2013;ABR.;19.3
2014;ABR.;20.0
2015;ABR.;20.1
2016;ABR.;22.6
2017;ABR.;19.6
2018;ABR.;20.3
2019;ABR.;21.4
2020;ABR.;19.2
2021;ABR.;19.0
2022;ABR.;20.28
2023;ABR.;19.6
1933;MAI.;15.57
1934;MAI.;16.48
1935;MAI.;14.42
1936;MAI.;18.84
1937;MAI.;14.97
1938;MAI.;15.82
1939;MAI.;17.47
1940;MAI.;17.79
1941;MAI.;17.42
1942;MAI.;15.94
1943;MAI.;16.49
1944;MAI.;15.28
1945;MAI.;14.51
1946;MAI.;17.84
1947;MAI.;17.78
1948;MAI.;16.25
1949;MAI.;15.65
1950;MAI.;17.53
1951;MAI.;15.7
1952;MAI.;16.74
1953;MAI.;16.88
1954;MAI.;16.56
1955;MAI.;15.78
1956;MAI.;15.0
1957;MAI.;15.97
1958;MAI.;16.09
1959;MAI.;17.7
1960;MAI.;14.84
1961;MAI.;16.86
1962;MAI.;15.43
1963;MAI.;16.08
1964;MAI.;15.85
1965;MAI.;16.47
1966;MAI.;17.02
1967;MAI.;17.97
1968;MAI.;14.18
1969;MAI.;17.15
1970;MAI.;18.65
1971;MAI.;16.3
1972;MAI.;17.69
1973;MAI.;17.09
1974;MAI.;17.19
1975;MAI.;16.16
1976;MAI.;16.51
1977;MAI.;17.31
1978;MAI.;15.77
1979;MAI.;17.25
1980;MAI.;18.7
1981;MAI.;18.05
1982;MAI.;16.34
1983;MAI.;18.74
1984;MAI.;19.47
1985;MAI.;17.01
1986;MAI.;19.15
1987;MAI.;16.99
1988;MAI.;17.11
1989;MAI.;16.78
1990;MAI.;16.78
1991;MAI.;17.94
1992;MAI.;18.99
1993;MAI.;17.92
1994;MAI.;19.04
1995;MAI.;17.66
1996;MAI.;16.84
1997;MAI.;17.2
1998;MAI.;17.1
1999;MAI.;16.5
2000;MAI.;17.3
2001;MAI.;17.5
2002;MAI.;18.9
2003;MAI.;17.3
2004;MAI.;16.7
2005;MAI.;18.7
2006;MAI.;16.1
2007;MAI.;16.9
2008;MAI.;16.8
2009;MAI.;18.4
2010;MAI.;17.8
2011;MAI.;16.7
2012;MAI.;17.4
2013;MAI.;17.8
2014;MAI.;17.6
2015;MAI.;17.9
2016;MAI.;17.5
2017;MAI.;18.3
2018;MAI.;18.2
2019;MAI.;19.8
2020;MAI.;16.7
2021;MAI.;17.5
2022;MAI.;16.93
2023;MAI.;18.0
1933;JUN.;13.3
1934;JUN.;15.57
1935;JUN.;15.92
1936;JUN.;16.96
1937;JUN.;14.88
1938;JUN.;14.66
1939;JUN.;15.42
1940;JUN.;15.87
1941;JUN.;14.47
1942;JUN.;14.53
1943;JUN.;15.63
1944;JUN.;14.98
1945;JUN.;13.36
