ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2028-10-31;19.80452502580725;19.528260316503744;22.063907529346483;19.800501272323697;19.808886464702237;0.9933513909885632;0.9933513909885632;0.9933513909885632;0.9933513909885632;0.9933513909885632;0.9933513909885632;0.0;0.0;0.0;20.797876416795816
2028-11-30;19.805932057894577;20.812460823160908;23.23588381160494;19.801833520639477;19.810379784989937;2.2231502484486336;2.2231502484486336;2.2231502484486336;2.2231502484486336;2.2231502484486336;2.2231502484486336;0.0;0.0;0.0;22.02908230634321
2028-12-31;19.80738599105148;21.836285621147656;24.395816772653173;19.803192739934577;19.81202060297658;3.2796299695444797;3.2796299695444797;3.2796299695444797;3.2796299695444797;3.2796299695444797;3.2796299695444797;0.0;0.0;0.0;23.08701596059596
2029-01-31;19.808839924208378;21.37536881361169;23.894861243172407;19.80456280536919;19.813575201962504;2.870609926426256;2.870609926426256;2.870609926426256;2.870609926426256;2.870609926426256;2.870609926426256;0.0;0.0;0.0;22.679449850634633
2029-02-28;19.81015315415655;21.590720423042033;24.052539118177283;19.805795129740716;19.8150232941539;3.0212807398885735;3.0212807398885735;3.0212807398885735;3.0212807398885735;3.0212807398885735;3.0212807398885735;0.0;0.0;0.0;22.831433894045123
2029-03-31;19.81160708731345;19.24546619648028;21.66788591209614;19.807159679326446;19.81664716319468;0.5869420667622899;0.5869420667622899;0.5869420667622899;0.5869420667622899;0.5869420667622899;0.5869420667622899;0.0;0.0;0.0;20.39854915407574
2029-04-30;19.813014119400776;17.08659726276829;19.629620902559104;19.80845951819819;19.81820850857899;-1.4598155482366817;-1.4598155482366817;-1.4598155482366817;-1.4598155482366817;-1.4598155482366817;-1.4598155482366817;0.0;0.0;0.0;18.353198571164093
2029-05-31;19.814468052557675;15.66232730654433;18.159871059643088;19.80976084238471;19.819804811523536;-2.9113370805743273;-2.9113370805743273;-2.9113370805743273;-2.9113370805743273;-2.9113370805743273;-2.9113370805743273;0.0;0.0;0.0;16.903130971983348
2029-06-30;19.815875084645;15.533684737743469;18.00184603266486;19.811086328700636;19.821372796796084;-3.043665676869486;-3.043665676869486;-3.043665676869486;-3.043665676869486;-3.043665676869486;-3.043665676869486;0.0;0.0;0.0;16.772209407775513
2029-07-31;19.8173290178019;16.44956434542872;18.92307441770422;19.812445990876785;19.822982795753127;-2.180797381260073;-2.180797381260073;-2.180797381260073;-2.180797381260073;-2.180797381260073;-2.180797381260073;0.0;0.0;0.0;17.636531636541825
2029-08-31;19.818782950958802;17.029934289687894;19.55652216460099;19.81380113855806;19.824586790880858;-1.541003421913547;-1.541003421913547;-1.541003421913547;-1.541003421913547;-1.541003421913547;-1.541003421913547;0.0;0.0;0.0;18.277779529045254
