ano;mes;temperatura
1963;MAR.;21.8872311827957
1964;MAR.;20.394354838709674
1965;MAR.;19.319220430107528
1966;MAR.;20.88870967741935
1967;MAR.;20.578360215053763
1968;MAR.;20.411424731182795
1969;MAR.;21.38978494623656
1970;MAR.;21.5372311827957
1971;MAR.;21.75618279569892
1972;MAR.;21.745833333333326
1973;MAR.;20.557661290322585
1974;MAR.;20.98924731182796
1975;MAR.;21.609139784946237
1976;MAR.;20.81801075268817
1977;MAR.;22.134005376344096
1978;MAR.;21.67311827956989
1979;MAR.;19.900000000000002
1980;MAR.;22.943145161290328
1981;MAR.;21.339516129032255
1982;MAR.;20.42849462365592
1983;MAR.;20.94368279569893
1984;MAR.;21.10900537634408
1985;MAR.;22.080107526881726
1986;MAR.;21.554032258064517
1987;MAR.;20.968508064516126
1988;MAR.;21.66021505376344
1989;MAR.;21.61478494623655
1990;MAR.;22.60389784946237
1991;MAR.;20.69556451612904
1992;MAR.;21.81666666666667
1993;MAR.;22.09354838709677
1994;MAR.;21.170564516129026
1995;MAR.;21.576155913978493
1996;MAR.;21.684005376344086
1997;MAR.;20.8
1998;MAR.;22.5
1999;MAR.;22.4
2000;MAR.;20.9
2001;MAR.;22.7
2002;MAR.;23.6
2003;MAR.;21.8
2004;MAR.;20.3
2005;MAR.;21.7
2006;MAR.;22.4
2007;MAR.;23.0
2008;MAR.;21.5
2009;MAR.;22.4
2010;MAR.;22.2
2011;MAR.;21.0
2012;MAR.;21.6
2013;MAR.;21.4
2014;MAR.;22.3
2015;MAR.;21.4
2016;MAR.;22.5
2017;MAR.;21.7
2018;MAR.;22.8
2019;MAR.;22.0
2020;MAR.;20.8
2021;MAR.;22.6
2022;MAR.;22.9752688172043
2023;MAR.;22.4
1933;ABR.;17.029722222222222
1934;ABR.;18.650138888888893
1935;ABR.;17.343194444444446
1936;ABR.;18.542361111111113
1937;ABR.;17.91125
1938;ABR.;18.383888888888887
1939;ABR.;18.549444444444443
1940;ABR.;20.124722222222218
1941;ABR.;20.822916666666668
1942;ABR.;18.299166666666665
1943;ABR.;16.27763888888889
1944;ABR.;16.978055555555553
1945;ABR.;18.043194444444442
1946;ABR.;17.343333333333337
1947;ABR.;18.028333333333332
1948;ABR.;18.441388888888888
1949;ABR.;17.675694444444453
1950;ABR.;18.845972222222223
1951;ABR.;15.927361111111114
1952;ABR.;17.141666666666666
1953;ABR.;18.125833333333333
1954;ABR.;18.219305555555554
1955;ABR.;18.535527777777773
1956;ABR.;18.182916666666667
1957;ABR.;18.104027777777777
1958;ABR.;17.81277777777778
1959;ABR.;21.414305555555554
1960;ABR.;18.353472222222226
1961;ABR.;19.802638888888893
1962;ABR.;18.178333333333335
1963;ABR.;18.582361111111116
1964;ABR.;19.40013888888889
1965;ABR.;19.2425
1966;ABR.;18.97888888888889
1967;ABR.;18.879166666666666
1968;ABR.;16.80138888888889
1969;ABR.;18.33902777777778
1970;ABR.;19.170972222222225
1971;ABR.;18.50555555555555
1972;ABR.;17.57013888888889
1973;ABR.;21.82472222222223
1974;ABR.;18.134305555555557
1975;ABR.;18.095416666666672
1976;ABR.;18.85361111111111
1977;ABR.;18.848750000000003
1978;ABR.;18.14791666666667
1979;ABR.;18.455694444444443
1980;ABR.;19.87208333333334
1981;ABR.;18.80444444444445
1982;ABR.;17.873055555555553
1983;ABR.;19.692916666666665
1984;ABR.;19.07833333333333
1985;ABR.;20.741944444444446
1986;ABR.;20.63763888888889
1987;ABR.;20.84194444444444
1988;ABR.;19.610694444444444
1989;ABR.;20.558333333333334
1990;ABR.;21.889583333333338
1991;ABR.;19.46
1992;ABR.;20.165694444444444
1993;ABR.;20.88165277777778
1994;ABR.;20.003333333333337
1995;ABR.;19.848888888888894
1996;ABR.;20.25583333333334
1997;ABR.;19.4
1998;ABR.;20.6
1999;ABR.;19.3
2000;ABR.;19.8
2001;ABR.;21.8
2002;ABR.;22.2
2003;ABR.;20.3
2004;ABR.;20.6
2005;ABR.;21.4
2006;ABR.;19.7
2007;ABR.;21.2
2008;ABR.;20.2
2009;ABR.;19.5
2010;ABR.;19.7
2011;ABR.;20.7
2012;ABR.;20.5
2013;ABR.;19.3
2014;ABR.;20.0
2015;ABR.;20.1
2016;ABR.;22.6
2017;ABR.;19.6
2018;ABR.;20.3
2019;ABR.;21.4
2020;ABR.;19.2
2021;ABR.;19.0
2022;ABR.;20.284499999999998
2023;ABR.;19.6
1933;MAI.;15.566666666666668
1934;MAI.;16.476881720430107
1935;MAI.;14.41747311827957
1936;MAI.;18.83978494623656
1937;MAI.;14.966129032258062
1938;MAI.;15.815725806451615
1939;MAI.;17.468817204301075
1940;MAI.;17.788306451612907
1941;MAI.;17.41962365591398
1942;MAI.;15.94260752688172
1943;MAI.;16.4877688172043
1944;MAI.;15.279435483870971
1945;MAI.;14.505779569892471
1946;MAI.;17.837903225806453
1947;MAI.;17.776344086021506
1948;MAI.;16.254166666666666
1949;MAI.;15.650268817204301
1950;MAI.;17.53091397849462
1951;MAI.;15.696639784946235
1952;MAI.;16.740994623655915
1953;MAI.;16.879032258064516
1954;MAI.;16.561236559139793
1955;MAI.;15.775403225806448
1956;MAI.;15.004032258064518
1957;MAI.;15.972715053763443
1958;MAI.;16.09408602150538
1959;MAI.;17.699865591397852
1960;MAI.;14.835080645161288
1961;MAI.;16.8635752688172
1962;MAI.;15.428897849462366
1963;MAI.;16.084005376344084
1964;MAI.;15.851881720430107
1965;MAI.;16.46532258064516
1966;MAI.;17.015591397849462
1967;MAI.;17.967741935483872
1968;MAI.;14.17930107526882
1969;MAI.;17.14717741935484
1970;MAI.;18.651612903225807
1971;MAI.;16.296102150537635
1972;MAI.;17.688709677419357
1973;MAI.;17.092741935483875
1974;MAI.;17.194354838709675
1975;MAI.;16.163709677419355
1976;MAI.;16.514112903225808
1977;MAI.;17.30873655913979
1978;MAI.;15.7744623655914
1979;MAI.;17.253360215053764
1980;MAI.;18.704435483870967
1981;MAI.;18.05497311827957
1982;MAI.;16.338844086021503
1983;MAI.;18.737903225806445
1984;MAI.;19.471102150537632
1985;MAI.;17.01263440860215
1986;MAI.;19.14569892473118
1987;MAI.;16.987499999999997
1988;MAI.;17.10635752688172
1989;MAI.;16.78104838709677
1990;MAI.;16.779784946236557
1991;MAI.;17.939018817204307
1992;MAI.;18.992741935483867
1993;MAI.;17.91747311827957
1994;MAI.;19.042338709677416
1995;MAI.;17.661021505376343
1996;MAI.;16.842876344086022
1997;MAI.;17.2
1998;MAI.;17.1
